dataset,CR_number,CR,RR,ER,CR_vs_RR_p_value,ER_vs_CR_p_value,ER_vs_RR_p_value
compressive.arff,16,"IF Cement <= 164.80 AND Blast Furnace Slag >= 115.50 THEN class = {26.53} [16.39, 36.67] (p=79, n=32, P=413, N=617)","IF Fine Aggregate >= 894.50 THEN class = {30.90} [14.71, 47.09] (p=36, n=22, P=674, N=356)","IF Cement <= 164.80 AND Blast Furnace Slag >= 115.50 AND Fine Aggregate >= 894.50 THEN class = {13.74} [5.52, 21.97] (p=2, n=2, P=223, N=807)",0.07783258309518858,0.01725551524068524,0.01600867372192236
compressive.arff,17,"IF Water >= 224.70 THEN class = {42.52} [34.44, 50.60] (p=35, n=23, P=310, N=720)","IF Coarse Aggregate <= 853.50 THEN class = {44.52} [27.98, 61.06] (p=73, n=35, P=582, N=448)","IF Water >= 224.70 AND Coarse Aggregate <= 853.50 THEN class = {27.20} [25.18, 29.22] (p=2, n=1, P=80, N=950)",0.8014389928407659,0.004971468663366085,0.020429421439073114
compressive.arff,18,"IF Age >= 21.00 AND Water <= 162.07 AND Cement >= 170.63 AND Cement <= 492.50 THEN class = {55.50} [43.87, 67.13] (p=86, n=34, P=248, N=782)","IF Superplasticizer >= 25.80 THEN class = {56.46} [46.08, 66.84] (p=5, n=5, P=207, N=823)","IF Age >= 21.00 AND Water <= 162.07 AND Cement >= 170.63 AND Cement <= 492.50 AND Superplasticizer >= 25.80 THEN class = {68.97} [67.40, 70.53] (p=1, n=2, P=11, N=1019)",0.3271680764903927,0.01946409099626703,0.016666666666666666
compressive.arff,19,"IF Age >= 21.00 AND Blast Furnace Slag >= 213.25 THEN class = {40.33} [27.74, 52.92] (p=32, n=8, P=507, N=523)","IF Cement >= 237.75 THEN class = {41.00} [24.20, 57.81] (p=407, n=213, P=648, N=382)","IF Age >= 21.00 AND Blast Furnace Slag >= 213.25 AND Cement >= 237.75 THEN class = {64.27} [51.33, 77.21] (p=4, n=2, P=178, N=852)",0.09361952269851143,0.00039751037972916744,0.0026473291183976466
concrete.arff,0,"IF Water <= 169.25 THEN class = {44.40} [37.62, 51.19] (p=9, n=1, P=38, N=65)","IF Cement >= 178.55 THEN class = {39.37} [31.90, 46.84] (p=35, n=20, P=63, N=40)","IF Water <= 169.25 AND Cement >= 178.55 THEN class = {52.01} [48.23, 55.79] (p=3, n=1, P=8, N=95)",0.6868855299209251,0.009523809523809525,0.0027147173397974863
concrete.arff,1,"IF Coarse Aggr. >= 1,021.45 THEN class = {31.94} [26.18, 37.70] (p=8, n=1, P=57, N=46)","IF Fly ash <= 219.50 THEN class = {35.03} [26.96, 43.11] (p=52, n=20, P=75, N=28)","IF Coarse Aggr. >= 1,021.45 AND Fly ash <= 219.50 THEN class = {25.17} [19.96, 30.38] (p=1, n=2, P=19, N=84)",0.7251757988663529,0.02753189387562954,0.03108826934058868
concrete.arff,2,"IF Fly ash <= 102.50 THEN class = {28.83} [23.45, 34.22] (p=17, n=5, P=43, N=60)","IF Cement <= 165.15 THEN class = {31.60} [25.52, 37.68] (p=33, n=11, P=58, N=45)","IF Fly ash <= 102.50 AND Cement <= 165.15 THEN class = {18.29} [17.57, 19.01] (p=2, n=2, P=2, N=101)",0.15795980191732484,0.0025043593246531835,0.0011707294718029087
concrete.arff,3,"IF Cement <= 162.50 THEN class = {31.69} [26.00, 37.37] (p=32, n=10, P=55, N=48)","IF Fly ash <= 155.00 THEN class = {33.18} [25.99, 40.37] (p=34, n=14, P=68, N=35)","IF Cement <= 162.50 AND Fly ash <= 155.00 THEN class = {25.16} [20.12, 30.20] (p=6, n=4, P=19, N=84)",0.3077687906301706,0.0001868565409538919,5.720116046673827e-05
concrete.arff,4,"IF Fly ash <= 117.50 THEN class = {30.15} [24.16, 36.14] (p=21, n=7, P=50, N=53)","IF Cement <= 263.00 THEN class = {33.63} [26.41, 40.85] (p=40, n=16, P=66, N=37)","IF Fly ash <= 117.50 AND Cement <= 263.00 THEN class = {23.67} [16.91, 30.42] (p=5, n=2, P=23, N=80)",0.061300528808939825,0.0258372654562283,0.0013928044275097612
concrete.arff,5,"IF Fly ash >= 239.65 THEN class = {38.95} [32.92, 44.98] (p=11, n=3, P=52, N=51)","IF Cement >= 204.95 THEN class = {39.36} [31.75, 46.96] (p=34, n=19, P=64, N=39)","IF Fly ash >= 239.65 AND Cement >= 204.95 THEN class = {46.99} [44.25, 49.73] (p=2, n=2, P=8, N=95)",0.31722924336152414,0.001998001998001998,0.028605237695532384
concrete.arff,6,"IF Slag <= 2.80 AND Coarse Aggr. <= 932.50 THEN class = {42.73} [36.02, 49.43] (p=16, n=5, P=43, N=60)","IF Water <= 178.00 THEN class = {41.04} [33.52, 48.55] (p=13, n=8, P=52, N=51)","IF Slag <= 2.80 AND Coarse Aggr. <= 932.50 AND Water <= 178.00 THEN class = {50.10} [43.36, 56.84] (p=2, n=2, P=17, N=86)",0.2148824117815331,0.039149563273297945,0.0177109440267335
friedman.arff,0,"IF Input2 <= 0.01 THEN class = {9.43} [5.65, 13.21] (p=11, n=2, P=437, N=763)","IF Input4 <= 0.20 THEN class = {9.58} [5.55, 13.61] (p=149, n=68, P=459, N=741)","IF Input2 <= 0.01 AND Input4 <= 0.20 THEN class = {5.54} [5.04, 6.05] (p=2, n=1, P=30, N=1170)",0.4768430145694048,0.027972027972027972,0.03064575667726455
friedman.arff,1,"IF Input1 <= 0.13 THEN class = {9.52} [5.89, 13.15] (p=115, n=42, P=422, N=778)","IF Input4 <= 0.05 THEN class = {8.87} [4.94, 12.80] (p=47, n=17, P=425, N=775)","IF Input1 <= 0.13 AND Input4 <= 0.05 THEN class = {4.88} [2.36, 7.41] (p=8, n=6, P=108, N=1092)",0.9425530279977075,2.811467719749546e-06,1.875416958458774e-05
friedman.arff,2,"IF Input1 >= 0.99 THEN class = {15.96} [12.22, 19.70] (p=17, n=3, P=577, N=623)","IF Input1 <= 0.99 THEN class = {14.56} [9.35, 19.76] (p=755, n=428, P=771, N=429)","IF Input1 >= 0.99 AND Input1 <= 0.99 THEN class = {20.58} [17.50, 23.65] (p=1, n=2, P=315, N=885)",0.5464320542336866,0.028070175438596492,0.04683688068175169
friedman.arff,3,"IF Input4 <= 0.12 THEN class = {8.70} [4.81, 12.60] (p=92, n=33, P=414, N=786)","IF Input1 <= 0.05 THEN class = {8.31} [4.84, 11.79] (p=50, n=21, P=344, N=856)","IF Input4 <= 0.12 AND Input1 <= 0.05 THEN class = {4.57} [2.25, 6.89] (p=8, n=8, P=83, N=1117)",0.7645292757536017,2.848777462766611e-06,7.005252877786473e-07
friedman.arff,4,"IF Input4 <= 0.13 THEN class = {8.72} [4.83, 12.60] (p=99, n=38, P=413, N=787)","IF Input1 <= 0.05 THEN class = {8.31} [4.84, 11.79] (p=50, n=21, P=344, N=856)","IF Input4 <= 0.13 AND Input1 <= 0.05 THEN class = {4.61} [2.36, 6.87] (p=9, n=8, P=81, N=1119)",0.6084078002329985,1.6232409868378223e-06,2.0548642759029965e-07
friedman.arff,5,"IF Input1 <= 0.13 THEN class = {9.72} [5.95, 13.48] (p=117, n=45, P=441, N=759)","IF Input4 <= 0.05 THEN class = {8.87} [4.94, 12.80] (p=47, n=17, P=425, N=775)","IF Input1 <= 0.13 AND Input4 <= 0.05 THEN class = {4.88} [2.36, 7.41] (p=8, n=6, P=108, N=1092)",0.8315850301052125,2.1184028456389038e-06,1.875416958458774e-05
friedman.arff,6,"IF Input4 <= 0.15 THEN class = {9.17} [5.11, 13.23] (p=111, n=42, P=458, N=742)","IF Input1 <= 0.06 THEN class = {8.82} [5.16, 12.48] (p=61, n=20, P=398, N=802)","IF Input4 <= 0.15 AND Input1 <= 0.06 THEN class = {5.04} [2.52, 7.55] (p=13, n=6, P=115, N=1085)",0.5577217556558298,1.3868865722674413e-06,1.8817086189085975e-07
friedman.arff,7,"IF Input4 <= 0.20 THEN class = {9.56} [5.51, 13.61] (p=150, n=64, P=462, N=738)","IF Input1 <= 0.02 THEN class = {9.03} [5.37, 12.70] (p=22, n=10, P=412, N=788)","IF Input4 <= 0.20 AND Input1 <= 0.02 THEN class = {5.36} [2.62, 8.11] (p=5, n=3, P=135, N=1065)",0.4970787636339208,0.0021009729396826667,0.0004989399427664167
friedman.arff,8,"IF Input1 <= 0.14 THEN class = {9.79} [5.96, 13.62] (p=119, n=50, P=446, N=754)","IF Input4 <= 0.02 THEN class = {8.73} [4.16, 13.30] (p=19, n=9, P=473, N=727)","IF Input1 <= 0.14 AND Input4 <= 0.02 THEN class = {4.06} [0.96, 7.16] (p=4, n=3, P=108, N=1092)",0.7776320393305274,0.00022712379641858733,0.0015692037431167868
friedman.arff,9,"IF Input1 <= 0.14 THEN class = {9.95} [6.08, 13.83] (p=125, n=52, P=463, N=737)","IF Input4 <= 0.02 THEN class = {8.73} [4.16, 13.30] (p=19, n=9, P=473, N=727)","IF Input1 <= 0.14 AND Input4 <= 0.02 THEN class = {4.06} [0.96, 7.16] (p=4, n=3, P=108, N=1092)",0.9083945774999357,0.0001709836071605727,0.0015692037431167868
friedman.arff,10,"IF Input1 <= 0.15 THEN class = {10.02} [6.11, 13.92] (p=132, n=56, P=467, N=733)","IF Input4 <= 0.02 THEN class = {8.73} [4.16, 13.30] (p=19, n=9, P=473, N=727)","IF Input1 <= 0.15 AND Input4 <= 0.02 THEN class = {4.06} [0.96, 7.16] (p=4, n=3, P=108, N=1092)",0.930862790135539,0.00015866505808768324,0.0015692037431167868
friedman.arff,11,"IF Input4 <= 0.20 THEN class = {9.64} [5.62, 13.67] (p=156, n=72, P=461, N=739)","IF Input1 <= 0.02 THEN class = {9.03} [5.37, 12.70] (p=22, n=10, P=412, N=788)","IF Input4 <= 0.20 AND Input1 <= 0.02 THEN class = {5.36} [2.62, 8.11] (p=5, n=3, P=135, N=1065)",0.5515499668302519,0.0015524941711017753,0.0004989399427664167
friedman.arff,12,"IF Input4 <= 0.21 THEN class = {9.75} [5.69, 13.81] (p=164, n=74, P=476, N=724)","IF Input1 <= 0.01 THEN class = {9.08} [5.72, 12.45] (p=12, n=7, P=378, N=822)","IF Input4 <= 0.21 AND Input1 <= 0.01 THEN class = {5.60} [2.63, 8.56] (p=3, n=2, P=154, N=1046)",0.5441155135064184,0.01888245253463362,0.010319917440660475
friedman.arff,13,"IF Input2 <= 0.01 THEN class = {9.30} [5.84, 12.75] (p=15, n=5, P=400, N=800)","IF Input4 <= 0.20 THEN class = {9.58} [5.55, 13.61] (p=149, n=68, P=459, N=741)","IF Input2 <= 0.01 AND Input4 <= 0.20 THEN class = {5.54} [5.04, 6.05] (p=2, n=1, P=30, N=1170)",0.7329205888649808,0.01929824561403509,0.03064575667726455
friedman.arff,14,"IF Input1 <= 0.16 THEN class = {10.11} [6.15, 14.08] (p=136, n=59, P=479, N=721)","IF Input4 <= 0.01 THEN class = {8.01} [2.94, 13.08] (p=6, n=5, P=459, N=741)","IF Input1 <= 0.16 AND Input4 <= 0.01 THEN class = {2.74} [0.93, 4.55] (p=2, n=2, P=20, N=1180)",0.5666785106099468,3.845263580320468e-05,0.012121212121212121
friedman.arff,15,"IF Input4 <= 0.22 THEN class = {9.89} [5.79, 13.99] (p=171, n=80, P=483, N=717)","IF Input1 <= 0.01 THEN class = {9.08} [5.72, 12.45] (p=12, n=7, P=378, N=822)","IF Input4 <= 0.22 AND Input1 <= 0.01 THEN class = {5.60} [2.63, 8.56] (p=3, n=2, P=154, N=1046)",0.6439383746152274,0.01665546634119007,0.010319917440660475
friedman.arff,16,"IF Input4 <= 0.23 THEN class = {9.97} [5.84, 14.10] (p=175, n=84, P=489, N=711)","IF Input1 <= 0.01 THEN class = {9.08} [5.72, 12.45] (p=12, n=7, P=378, N=822)","IF Input4 <= 0.23 AND Input1 <= 0.01 THEN class = {5.60} [2.63, 8.56] (p=3, n=2, P=154, N=1046)",0.7086512340087316,0.015706173484515345,0.010319917440660475
friedman.arff,17,"IF Input4 <= 0.24 THEN class = {10.02} [5.86, 14.17] (p=180, n=86, P=497, N=703)","IF Input1 <= 0.01 THEN class = {9.08} [5.72, 12.45] (p=12, n=7, P=378, N=822)","IF Input4 <= 0.24 AND Input1 <= 0.01 THEN class = {5.60} [2.63, 8.56] (p=3, n=2, P=154, N=1046)",0.7366273905682658,0.01543217521969399,0.010319917440660475
friedman.arff,18,"IF Input1 <= 0.17 THEN class = {10.17} [6.18, 14.16] (p=139, n=65, P=484, N=716)","IF Input4 <= 0.01 THEN class = {8.01} [2.94, 13.08] (p=6, n=5, P=459, N=741)","IF Input1 <= 0.17 AND Input4 <= 0.01 THEN class = {2.74} [0.93, 4.55] (p=2, n=2, P=20, N=1180)",0.5948962304292464,4.2164611241784765e-05,0.012121212121212121
friedman.arff,19,"IF Input1 <= 0.19 THEN class = {10.32} [6.34, 14.30] (p=152, n=70, P=501, N=699)","IF Input4 <= 0.01 THEN class = {7.76} [2.93, 12.59] (p=9, n=4, P=428, N=772)","IF Input1 <= 0.19 AND Input4 <= 0.01 THEN class = {2.91} [1.26, 4.56] (p=3, n=2, P=18, N=1182)",0.7839866892813525,2.4805264734590745e-06,0.003108003108003108
friedman.arff,20,"IF Input4 <= 0.33 THEN class = {10.62} [6.37, 14.86] (p=253, n=117, P=558, N=642)","IF Input1 <= 0.02 THEN class = {9.19} [5.86, 12.52] (p=15, n=7, P=383, N=817)","IF Input4 <= 0.33 AND Input1 <= 0.02 THEN class = {5.73} [3.01, 8.45] (p=4, n=2, P=150, N=1050)",0.8936266851044457,0.0028442835837986886,0.0024124482328816694
friedman.arff,21,"IF Input4 <= 0.33 THEN class = {10.65} [6.41, 14.90] (p=258, n=122, P=558, N=642)","IF Input1 <= 0.02 THEN class = {9.19} [5.86, 12.52] (p=15, n=7, P=383, N=817)","IF Input4 <= 0.33 AND Input1 <= 0.02 THEN class = {5.73} [3.01, 8.45] (p=4, n=2, P=150, N=1050)",0.8624566029499738,0.0025829522064419745,0.0024124482328816694
friedman.arff,22,"IF Input1 <= 0.20 THEN class = {10.46} [6.47, 14.45] (p=161, n=76, P=510, N=690)","IF Input4 <= 0.01 THEN class = {7.76} [2.93, 12.59] (p=9, n=4, P=428, N=772)","IF Input1 <= 0.20 AND Input4 <= 0.01 THEN class = {2.91} [1.26, 4.56] (p=3, n=2, P=18, N=1182)",0.8608081962413527,1.783661400917266e-06,0.003108003108003108
