dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_coverage,ibs_train,ibs_test
05_Rossi.arff,survival_tree,0.047658246999986886,0.04774777500000482,0.04764103889465332,20,0,4.65,93,0.0,0.032240719442056934,0.04552072974699609
06_unemployed.arff,algorithm_rulekit,0.15063703399999895,1.8557198389999883,0.3616940975189209,15,0,2.533333333333333,38,0.22,0.1654113558597926,0.1546212203209176
06_unemployed.arff,algorithm_log_rank,13.212862423000018,13.217322527999983,13.21494436264038,14,0,2.5,35,0.22,0.1656521834135517,0.15220333802397457
06_unemployed.arff,algorithm_log_rank_with_exceptions,41.96894114099999,41.98361178599998,41.98306059837341,8,1,2.25,18,0.22,0.18215513090312602,0.15673351921919337
06_unemployed.arff,survival_tree,0.012642841000001681,0.02752807600001006,0.012642383575439453,21,0,4.666666666666667,98,0.0,0.1509792043967071,0.22680731009692323
07_Melanoma.arff,algorithm_rulekit,0.11482385499999737,0.4105494149999913,0.18059730529785156,8,0,3.0,24,0.43,0.1613292619749302,0.13222576315755075
07_Melanoma.arff,algorithm_log_rank,11.757404347000005,11.764706831000012,11.759629726409912,7,0,3.0,21,0.43,0.1576570828041101,0.1322026832755097
07_Melanoma.arff,algorithm_log_rank_with_exceptions,52.01119752400001,52.02897048599999,52.01930809020996,7,0,3.0,21,0.43,0.1576570828041101,0.1322026832755097
07_Melanoma.arff,survival_tree,0.011788027000022794,0.011868367999966267,0.011787652969360352,20,0,4.5,90,0.0,0.07780242011188833,0.16779345161328701
08_mgus.arff,algorithm_rulekit,0.12148493300003338,0.85847770700002,0.2969694137573242,8,0,2.375,19,0.38,0.12757187089399652,0.18803727325162856
08_mgus.arff,algorithm_log_rank,21.026685515999986,21.037007346999985,21.031307458877563,7,0,2.4285714285714284,17,0.35,0.12719076853057099,0.187730448917614
08_mgus.arff,algorithm_log_rank_with_exceptions,35.96592253199998,35.97698295399999,35.970908880233765,3,1,2.3333333333333335,7,0.43,0.13888988805159025,0.20288319329092847
08_mgus.arff,survival_tree,0.013226905999999872,0.040049328000009154,0.013226747512817383,10,0,3.8,38,0.0,0.11300794949982332,0.18607650729055605
09_std.arff,algorithm_rulekit,0.29804468300000053,2.251871699999981,0.616464376449585,7,0,3.142857142857143,22,0.54,0.20677599566016847,0.1909446293119639
09_std.arff,algorithm_log_rank,19.80220295999999,19.809559761999992,19.805084943771362,7,0,3.142857142857143,22,0.54,0.20677599566016847,0.1909446293119639
09_std.arff,algorithm_log_rank_with_exceptions,97.83544486100004,97.87149904800003,97.84607863426208,7,2,3.142857142857143,22,0.54,0.21905267132251524,0.21533984206162907
09_std.arff,survival_tree,0.019349949000002198,0.02144628999997167,0.019349336624145508,15,0,4.4,66,0.0,0.19084089679850338,0.224036771276361
10_hd.arff,algorithm_rulekit,0.1332802829999764,0.46117026900003566,0.3578755855560303,2,0,1.0,2,0.6,0.19943342620147902,0.20202352284756395
10_hd.arff,algorithm_log_rank,15.034287548000009,15.03997924700002,15.035062313079834,2,0,1.0,2,0.62,0.20158393542075226,0.20402667983706232
10_hd.arff,algorithm_log_rank_with_exceptions,76.28715167899998,76.314556262,76.28820180892944,2,0,1.0,2,0.62,0.20158393542075226,0.20402667983706232
10_hd.arff,survival_tree,0.015449453999963225,0.015554991000044538,0.015449285507202148,26,0,4.8076923076923075,125,0.0,0.1883029317557111,0.20927572471847686
11_follic.arff,algorithm_rulekit,0.11089021199995841,1.0234717209999644,0.3979067802429199,8,0,1.875,15,0.33,0.16382136384571794,0.18648687647232728
11_follic.arff,algorithm_log_rank,38.96526107799991,38.98147937099998,38.965266942977905,7,0,2.0,14,0.28,0.16373676520113167,0.1900367850862004
11_follic.arff,algorithm_log_rank_with_exceptions,78.58944469099993,78.61445464400003,78.59173250198364,3,1,1.6666666666666667,5,0.48,0.17148450511576924,0.2049654192329715
11_follic.arff,survival_tree,0.012942963000000418,0.03917017999992822,0.012943029403686523,26,0,4.8076923076923075,125,0.0,0.12269860273945254,0.20853420913228346
12_cancer.arff,algorithm_rulekit,0.10614706100000149,0.7621574049999253,0.26661229133605957,10,0,3.6,36,0.48,0.1403795718374171,0.1285943960568381
12_cancer.arff,algorithm_log_rank,12.174149036000017,12.177854875000094,12.174763917922974,7,0,3.5714285714285716,25,0.39,0.14159079371652306,0.1322885127978045
12_cancer.arff,algorithm_log_rank_with_exceptions,57.25122031600006,57.26952854500007,57.25249767303467,7,0,3.5714285714285716,25,0.39,0.14159079371652306,0.1322885127978045
12_cancer.arff,survival_tree,0.00795052000000851,0.008073811000031128,0.007950544357299805,20,0,4.6,92,0.0,0.10432654881493042,0.18196447904287044
13_uis.arff,algorithm_rulekit,0.10650537399999394,0.5141243060000988,0.2383735179901123,2,0,1.0,2,0.5,0.1258814812746622,0.15135755255284947
13_uis.arff,algorithm_log_rank,28.38764740499994,28.396724000000063,28.387659311294556,2,0,1.0,2,0.72,0.12147400310343617,0.1408997477114911
13_uis.arff,algorithm_log_rank_with_exceptions,130.92596358599997,130.967256153,130.9421830177307,2,0,1.0,2,0.72,0.12147400310343617,0.1408997477114911
13_uis.arff,survival_tree,0.011963997000066229,0.012082309000106761,0.011963844299316406,13,0,4.461538461538462,58,0.0,0.15714358457493607,0.15508735211263902
14_whas1.arff,algorithm_rulekit,0.06052368699999988,0.6931443619998845,0.35883378982543945,2,0,1.0,2,0.5,0.21423116954940433,0.2844619299924524
14_whas1.arff,algorithm_log_rank,23.487081232000037,23.49372436600015,23.50100064277649,2,0,1.0,2,0.5,0.21423116954940433,0.2844619299924524
14_whas1.arff,algorithm_log_rank_with_exceptions,86.69025857600013,86.71694922400002,86.74187803268433,2,1,1.0,2,0.5,0.24684808814140669,0.27038094142004027
14_whas1.arff,survival_tree,0.009957192999991094,0.03021907199990892,0.009957313537597656,24,0,4.833333333333333,116,0.0,0.1603579319149168,0.2757399876931376
15_csb-ch12-nursing.arff,algorithm_rulekit,0.360323863000076,2.0392064800000753,0.7976233959197998,18,0,3.0555555555555554,55,0.51,0.17643872642210617,0.15894911298151954
15_csb-ch12-nursing.arff,algorithm_log_rank,39.631636312999944,39.645866243,39.65830373764038,17,0,3.176470588235294,54,0.49,0.17663737997437634,0.15925915110131994
15_csb-ch12-nursing.arff,algorithm_log_rank_with_exceptions,201.082272612,201.16558488099986,201.10442566871643,17,0,3.176470588235294,54,0.49,0.17663737997437634,0.15925915110131994
15_csb-ch12-nursing.arff,survival_tree,0.014479054000048563,0.014589060999924186,0.014478921890258789,30,0,4.933333333333334,148,0.0,0.16863889966264076,0.1594631427876152
16_bmt-ch.arff,algorithm_rulekit,0.1387851279998813,0.7200030340000012,0.2536299228668213,3,0,2.6666666666666665,8,0.63,0.20370043408469865,0.2478061469361031
16_bmt-ch.arff,algorithm_log_rank,27.27381814299997,27.283649489000027,27.275331020355225,2,0,2.5,5,0.49,0.1978875734440177,0.24831995657013076
16_bmt-ch.arff,algorithm_log_rank_with_exceptions,122.32680652700014,122.37111539600005,122.33679032325745,2,0,2.5,5,0.49,0.1978875734440177,0.24831995657013076
16_bmt-ch.arff,survival_tree,0.022442979000061314,0.02253540299989254,0.02244281768798828,11,0,4.181818181818182,46,0.0,0.13168973857812197,0.20505752127915547
17_przeszczepy.arff,algorithm_rulekit,0.127003502999969,0.9364841630001592,0.41670799255371094,2,0,1.0,2,0.5,0.2041397610678816,0.22222559175970513
17_przeszczepy.arff,algorithm_log_rank,27.49813429599999,27.511496093999995,27.498392581939697,2,0,1.0,2,0.5,0.2041397610678816,0.22222559175970513
17_przeszczepy.arff,algorithm_log_rank_with_exceptions,123.61013625999999,123.65306753200002,123.61646437644958,2,0,1.0,2,0.5,0.2041397610678816,0.22222559175970513
17_przeszczepy.arff,survival_tree,0.023386789000142016,0.02347832100008418,0.023386478424072266,11,0,4.181818181818182,46,0.0,0.12986744378678414,0.359767352775332
18_zinc.arff,algorithm_rulekit,0.3258234149998316,1.9494007979999424,0.7148456573486328,4,0,1.75,7,0.35,0.08044599797810675,0.1054456369395734
18_zinc.arff,algorithm_log_rank,26.36538316899987,26.3749986790001,26.365509033203125,2,0,1.0,2,0.5,0.08829054235614925,0.1269319400186689
18_zinc.arff,algorithm_log_rank_with_exceptions,131.64316614100017,131.68772869100007,131.6567907333374,2,0,1.0,2,0.5,0.08829054235614925,0.1269319400186689
18_zinc.arff,survival_tree,0.17116187500005253,0.1712561019999157,0.1711742877960205,14,0,4.214285714285714,59,0.0,0.057918769905666974,0.1277185741110227
19_GBSG2.arff,algorithm_rulekit,0.22956109200003993,3.928841345000137,0.9454994201660156,15,0,3.6666666666666665,55,0.4,0.1713552336758946,0.18263999278239917
19_GBSG2.arff,algorithm_log_rank,218.40782862100014,218.4836441030002,218.4505569934845,14,0,3.642857142857143,51,0.42,0.17087559130057178,0.18286113432677617
19_GBSG2.arff,algorithm_log_rank_with_exceptions,654.6530641899999,654.8881402079996,654.842836856842,7,4,3.857142857142857,27,0.58,0.1963690262765938,0.19371947215890167
19_GBSG2.arff,survival_tree,0.021928974999809725,0.046926465000069584,0.02192854881286621,15,0,4.4,66,0.0,0.14536952234000494,0.18725137402887787
20_whas500.arff,algorithm_rulekit,0.09282742799996413,1.0553597250000166,0.405806303024292,2,0,1.0,2,0.68,0.19193256031137276,0.21916114301236772
20_whas500.arff,algorithm_log_rank,52.99629762500035,53.014311779999844,53.00459694862366,2,0,1.0,2,0.75,0.19639055056488436,0.23154153786156798
20_whas500.arff,algorithm_log_rank_with_exceptions,193.1550478160002,193.221825051,193.1867790222168,2,1,1.0,2,0.75,0.18796050904361197,0.2390598126075194
