dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,rmse_train,rmse_test,mae_train,mae_test
compressive.arff,DecisionTreeRegressor,0.008080263000010746,0.008162907999974323,0.008080244064331055,31,0,4.967741935483871,154,0.0,0.0,6.989022402482122,8.986455445941656,5.377496546894241,6.822953096918601
concrete.arff,RuleKit,0.04732856900000115,0.12078356500001064,0.06005740165710449,11,0,2.4545454545454546,27,0.85,0.46,5.736104971760178,7.0546861384216735,3.962115350121948,5.165478264006562
concrete.arff,RegressionRules,1.0353170970000178,1.0379618540000024,1.0354461669921875,12,0,4.833333333333333,58,0.82,0.39,6.3081439737159934,7.284252348379757,4.394849473082925,5.6810544126952225
concrete.arff,RegressionExceptionRules,2.8745796920000544,2.8755089369999496,2.8745858669281006,8,4,3.0,24,0.8,0.44,6.2085104856644575,7.377137121975015,4.629439882931233,5.936877539470067
concrete.arff,DecisionTreeRegressor,0.0075616610000110995,0.007646190000002662,0.007561922073364258,16,0,4.375,70,0.0,0.0,2.1276564970201766,3.0143430778661635,1.551103835978836,2.353518433179723
cpu.arff,RuleKit,0.050771074000010685,0.1238769449999495,0.06635046005249023,9,0,2.111111111111111,19,0.95,0.78,52.224853488417246,175.77344488056775,24.490338312054796,66.88510551707873
cpu.arff,RegressionRules,0.5749967000000424,0.5800950799999782,0.575141191482544,12,0,4.833333333333333,58,0.91,0.71,53.968119660143444,167.51793123253202,25.565877603570772,64.73808178485169
cpu.arff,RegressionExceptionRules,2.4674125559999993,2.4682124259999796,2.467534065246582,12,1,4.583333333333333,55,0.92,0.74,53.40835080470231,167.16870105917897,24.699994496110193,64.06660872451738
cpu.arff,DecisionTreeRegressor,0.011377898000034747,0.011466675000008308,0.011378049850463867,19,0,4.421052631578948,84,0.0,0.0,27.512772339502984,156.53729297712096,9.510932743021833,47.75578639251802
dee.arff,RuleKit,0.07238290999998753,1.701342636999982,0.5510389804840088,20,0,4.05,81,0.82,0.75,0.5407451178608881,0.5197525136770904,0.4015283001643242,0.39415994096285856
dee.arff,RegressionRules,9.138928763000024,9.142733979000013,9.139145374298096,22,0,4.863636363636363,107,0.82,0.74,0.5407027177149173,0.5153506335695186,0.4011364748513678,0.3904039547443586
dee.arff,RegressionExceptionRules,44.33038208800002,44.346282013999996,44.332432985305786,22,0,4.863636363636363,107,0.82,0.74,0.5407027177149173,0.5153506335695186,0.4011364748513678,0.3904039547443586
dee.arff,DecisionTreeRegressor,0.007280923999985589,0.00730476900002941,0.007280588150024414,29,0,4.896551724137931,142,0.0,0.0,0.29616989408013394,0.46276010288216174,0.21730188314300083,0.3492223115689866
diabetes.arff,RuleKit,0.008851414999980989,0.026082348000045386,0.011985540390014648,3,0,1.6666666666666667,5,0.86,0.88,0.4230305992273983,0.7285681249877584,0.3063309128008161,0.6042715551267429
diabetes.arff,RegressionRules,0.05823125599999912,0.058222180000029766,0.05823063850402832,4,0,3.0,12,0.85,0.63,0.4021705447673478,0.8183134515721321,0.2884907947081134,0.6458004346233424
diabetes.arff,RegressionExceptionRules,0.19919396599999573,0.19928360400001566,0.1992034912109375,4,0,3.0,12,0.85,0.63,0.4021705447673478,0.8183134515721321,0.2884907947081134,0.6458004346233424
diabetes.arff,DecisionTreeRegressor,0.004309461999980613,0.004310793999991347,0.004309892654418945,7,0,3.5714285714285716,25,0.0,0.0,0.3450925801707258,0.8279606291477896,0.26599999999999996,0.6648717948717949
echomonths.arff,RuleKit,0.06325878600000578,0.1720757619999631,0.07720708847045898,12,0,3.0,36,0.87,0.51,11.427265564378857,12.452833800658714,8.19484072062597,10.201474391294637
echomonths.arff,RegressionRules,0.9366380769999978,0.9381656330000396,0.9367005825042725,14,0,5.0,70,0.88,0.43,11.065540314181534,12.635451185567259,8.204870513625004,10.564476832475103
echomonths.arff,RegressionExceptionRules,4.295682223000028,4.297195762999991,4.295722246170044,14,0,5.0,70,0.88,0.43,11.065540314181534,12.635451185567259,8.204870513625004,10.564476832475103
echomonths.arff,DecisionTreeRegressor,0.007753601000047183,0.007764831999963917,0.0077533721923828125,17,0,4.235294117647059,72,0.0,0.0,8.259393586552369,14.342068497079799,5.530402930402931,11.512820512820513
ele-1.arff,RuleKit,0.06485584800003608,0.1962896659999842,0.12353110313415527,16,0,2.4375,39,0.81,0.77,824.8318076325514,1047.8817933592982,589.3555018063096,703.7595641057842
ele-1.arff,RegressionRules,1.5955711690000385,1.597215073999962,1.595588207244873,16,0,4.875,78,0.77,0.64,834.2885111928078,1054.5807243922,599.9367190401838,708.811507841761
ele-1.arff,RegressionExceptionRules,7.329633079000018,7.332070176999991,7.330175876617432,16,0,4.875,78,0.77,0.64,834.2885111928078,1054.5807243922,599.9367190401838,708.811507841761
ele-1.arff,DecisionTreeRegressor,0.00465749400001414,0.0046719319999510844,0.0046579837799072266,28,0,4.892857142857143,137,0.0,0.0,457.75328107035426,833.4480292623575,308.8059427887462,540.2458685609693
ele-2.arff,RuleKit,0.12427354599998353,2.415388166000014,1.0016255378723145,19,0,2.736842105263158,52,0.8,0.86,689.8276967165722,642.7948745078639,481.1399579281255,448.931988731848
ele-2.arff,RegressionRules,1.8508149589999903,1.85130011199999,1.8508121967315674,21,0,4.904761904761905,103,0.8,0.83,716.1212859835947,672.4196598653882,510.2818075777704,466.8258062644322
ele-2.arff,RegressionExceptionRules,7.480503729999953,7.484735709000006,7.480579853057861,21,0,4.904761904761905,103,0.8,0.83,716.1212859835947,672.4196598653882,510.2818075777704,466.8258062644322
ele-2.arff,DecisionTreeRegressor,0.005406289000006836,0.0054272589999868615,0.00540614128112793,30,0,4.933333333333334,148,0.0,0.0,217.23691931914436,248.01992422743194,154.77307872851503,178.92484831265577
elusage.arff,RuleKit,0.01008473399997456,0.03935804600001802,0.014817237854003906,4,0,1.5,6,0.89,0.97,13.330434443860069,9.76817473091382,8.930198174285641,7.00949944740622
elusage.arff,RegressionRules,0.061401432000025125,0.06143477400001984,0.061400651931762695,6,0,3.8333333333333335,23,0.81,0.85,15.922144657340024,12.056123192004948,9.844115086864127,8.140793692529442
