dataset,model,thread_time,process_time,raw_time,liczba_regul,liczba_wyjatkow,srednia_dlugosc_reguly,suma_warunkow,avg_precision,avg_coverage,balanced_accuracy__train,accuracy__train,recall__train,precision__train,f1_score__train,balanced_accuracy__test,accuracy__test,recall__test,precision__test,f1_score__test
mushroom.arff,algorithm_rulekit,0.950993799999992,2.566325372000051,1.2658171653747559,15,0,1.6666666666666667,25,0.98,0.4,0.9675932367610645,0.9671122054168132,0.9675932367610645,0.966967044997852,0.9670931018540053,0.9655238033650002,0.965135356849877,0.9655238033650002,0.965079249711966,0.9651245078462705
mushroom.arff,algorithm_cer,1.781593466000004,1.7825339310001027,1.7816035747528076,16,0,1.625,26,0.98,0.43,0.9675932367610645,0.9671122054168132,0.9675932367610645,0.966967044997852,0.9670931018540053,0.9655238033650002,0.965135356849877,0.9655238033650002,0.965079249711966,0.9651245078462705
mushroom.arff,algorithm_cer_with_exceptions_prediction_type_0,2.5049295609999263,2.505837645999918,2.5049450397491455,10,2,1.0,10,0.97,0.37,0.9837652405499453,0.9839957791065775,0.9837652405499453,0.9842246278459712,0.9839655214676284,0.9814091047795344,0.9815422477440525,0.9814091047795344,0.9816573120036232,0.981519784240828
mushroom.arff,algorithm_cer_with_exceptions_prediction_type_1,2.5049295609999263,2.505837645999918,2.5049450397491455,10,2,1.0,10,0.97,0.37,0.9850449480453749,0.9852268730214562,0.9850449480453749,0.9853913560997989,0.9852005063304318,0.9818324748049365,0.9819524200164069,0.9818324748049365,0.9820506858870031,0.9819309700801173
mushroom.arff,algorithm_cer_with_exceptions_prediction_type_2,2.5049295609999263,2.505837645999918,2.5049450397491455,10,2,1.0,10,0.97,0.37,0.9850449480453749,0.9852268730214562,0.9850449480453749,0.9853913560997989,0.9852005063304318,0.9818324748049365,0.9819524200164069,0.9818324748049365,0.9820506858870031,0.9819309700801173
mushroom.arff,algorithm_cer_with_exceptions_prediction_type_3,2.5049295609999263,2.505837645999918,2.5049450397491455,10,2,1.0,10,0.97,0.37,0.9850449480453749,0.9852268730214562,0.9850449480453749,0.9853913560997989,0.9852005063304318,0.9818324748049365,0.9819524200164069,0.9818324748049365,0.9820506858870031,0.9819309700801173
mushroom.arff,decision_tree,0.13931924399992113,0.13934490099995855,0.13931775093078613,12,0,3.8333333333333335,46,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
primary-tumor.arff,algorithm_rulekit,0.12166274099990915,0.27841474600006677,0.14887595176696777,49,0,4.387755102040816,215,0.52,0.57,0.5382574791326191,0.6497890295358649,0.5382574791326191,0.5198472823472824,0.5174998849269478,0.1911487050960735,0.4019607843137255,0.1911487050960735,0.18749445452712243,0.17414120045698994
primary-tumor.arff,algorithm_cer,0.5246247110000013,0.5247859609999068,0.5247740745544434,51,0,4.333333333333333,221,0.57,0.48,0.5866023072588269,0.6497890295358649,0.5866023072588269,0.6087437081216465,0.5783310018330643,0.2479908103592314,0.43137254901960786,0.23559126984126982,0.20148629148629152,0.1997992530275051
primary-tumor.arff,algorithm_cer_with_exceptions_prediction_type_0,0.9438565110000354,0.9444291110000904,0.9438648223876953,51,0,4.333333333333333,221,0.57,0.48,0.5866023072588269,0.6497890295358649,0.5866023072588269,0.6087437081216465,0.5783310018330643,0.2479908103592314,0.43137254901960786,0.23559126984126982,0.20148629148629152,0.1997992530275051
primary-tumor.arff,algorithm_cer_with_exceptions_prediction_type_1,0.9438565110000354,0.9444291110000904,0.9438648223876953,51,0,4.333333333333333,221,0.57,0.48,0.5866023072588269,0.6497890295358649,0.5866023072588269,0.6087437081216465,0.5783310018330643,0.2479908103592314,0.43137254901960786,0.23559126984126982,0.20148629148629152,0.1997992530275051
primary-tumor.arff,algorithm_cer_with_exceptions_prediction_type_2,0.9438565110000354,0.9444291110000904,0.9438648223876953,51,0,4.333333333333333,221,0.57,0.48,0.5866023072588269,0.6497890295358649,0.5866023072588269,0.6087437081216465,0.5783310018330643,0.2479908103592314,0.43137254901960786,0.23559126984126982,0.20148629148629152,0.1997992530275051
primary-tumor.arff,algorithm_cer_with_exceptions_prediction_type_3,0.9438565110000354,0.9444291110000904,0.9438648223876953,51,0,4.333333333333333,221,0.57,0.48,0.5866023072588269,0.6497890295358649,0.5866023072588269,0.6087437081216465,0.5783310018330643,0.2479908103592314,0.43137254901960786,0.23559126984126982,0.20148629148629152,0.1997992530275051
primary-tumor.arff,decision_tree,0.01467097800002648,0.014749085000062223,0.014671087265014648,22,0,4.590909090909091,101,0.0,0.0,0.26891960303567586,0.4472573839662447,0.26891960303567586,0.2106469219841313,0.22486340844870523,0.2078529657477026,0.4019607843137255,0.2078529657477026,0.14143602171235214,0.16478560900897227
